JobID,JobLink,Location,WorkType,Role,Skills,Company
1,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Pune,Intern,Accountant,"['Accounting', 'Tax Experience', 'MSExcel', 'Account management', 'Campaign optimization', 'Client relations']",Otis Worldwide
2,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Bangalore,Intern,Accountant,"['Accounting', 'Tally', 'MSExcel', 'Campaign optimization', 'Communication skills', 'Account management']",Bajaj Auto
3,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Pune,Full-Time,Accountant,"['Accounting', 'Tally', 'Tax Experience', 'Financial reporting', 'Auditing']",Huntsman
4,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Noida,Full-Time,Accountant,"['Accounting', 'Tax Experience', 'Tally', 'Sales metrics and reporting', 'Solution selling', 'Customer relationship management']",Qualcomm
5,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Pune,Contract,Accountant,"['Accounting', 'Tax Experience', 'Tally', 'Account management', 'Customer relationship management']",Huntsman
6,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Bangalore,Full-Time,Accountant,"['GST', 'Tax Experience', 'Tally', 'Tax preparation', 'Accounting Tax']",Deutsche Bahn AG
7,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Noida,Full-Time,Accountant,"['MSExcel', 'Tally', 'Accounting', 'Client needs analysis', 'Customer relationship management']",Baidu
8,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Bangalore,Part-Time,Accountant,"['GST', 'Tally', 'Tax Experience', 'Account management', 'Sales and negotiation']","Revlon, Inc."
9,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Hyderabad,Temporary,Accountant,"['MSExcel', 'Tax Experience', 'Accounting', 'Sales strategy and planning', 'Sales forecasting', 'Sales metrics and reporting']",Lumen Technologies
10,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Noida,Part-Time,Accountant,"['Accounting', 'GST', 'MSExcel', 'Account management', 'Sales metrics and reporting', 'Solution selling']",Xcel Energy
11,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Noida,Full-Time,Accountant,"['Tax Experience', 'Tally', 'MSExcel', 'Sales and negotiation', 'Customer relationship management']",Albemarle
12,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Kolkata,Part-Time,Accountant,"['GST', 'MSExcel', 'Tax Experience', 'Campaign optimization', 'Marketing strategies', 'Communication skills']",Spotify Technology S.A.
13,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Bangalore,Full-Time,Accountant,"['MSExcel', 'Tax Experience', 'GST', 'Sales forecasting', 'Contract negotiation', 'Solution selling']",Fidelity National Financial
14,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Mumbai,Full-Time,Accountant,"['Accounting', 'Tax Experience', 'MSExcel', 'Accounting Tax', 'Tax regulations']",Owens & Minor
15,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Chennai,Full-Time,Accountant,"['Tax Experience', 'Tally', 'Accounting', 'Financial reporting', 'QuickBooks']",Merck
16,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Pune,Temporary,Accountant,"['Accounting', 'GST', 'Tax Experience', 'Sales strategy and planning', 'Sales forecasting', 'Solution selling']",CarMax
17,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Kolkata,Temporary,Accountant,"['Accounting', 'Tally', 'MSExcel', 'Sales strategy and planning', 'Solution selling', 'Account management']",Otis Worldwide
18,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Gurgaon,Full-Time,Accountant,"['Tally', 'GST', 'Accounting', 'Tax planning', 'Accounting Tax']",Cipla
19,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Noida,Temporary,Accountant,"['GST', 'Tax Experience', 'Accounting', 'Forensic accounting', 'Legal knowledge']",Hess
20,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Mumbai,Full-Time,Accountant,"['MSExcel', 'Tax Experience', 'Accounting', 'Customer relationship management', 'Contract negotiation', 'Sales forecasting']","The Vanguard Group, Inc."
21,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Noida,Contract,Accountant,"['MSExcel', 'Tax Experience', 'Tally', 'Tax preparation', 'software proficiency']",Sysco
22,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Hyderabad,Contract,Accountant,"['MSExcel', 'GST', 'Accounting', 'QuickBooks', 'Auditing']",Campbell Soup
23,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Mumbai,Intern,Accountant,"['Tally', 'Tax Experience', 'Accounting', 'Account management', 'Sales and negotiation']",Deutsche Telekom AG
24,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Mumbai,Intern,Accountant,"['Tally', 'Tax Experience', 'Accounting', 'Contract negotiation', 'Sales forecasting', 'Customer relationship management']",Baxter International
25,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Gurgaon,Part-Time,Accountant,"['Tally', 'Tax Experience', 'MSExcel', 'Auditing', 'GAAP knowledge']",Liberty Media
26,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Hyderabad,Full-Time,Accountant,"['MSExcel', 'Tax Experience', 'Accounting', 'Business development', 'Client needs analysis']",United Rentals
27,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Chennai,Intern,Accountant,"['Accounting', 'Tax Experience', 'GST', 'Auditing', 'GAAP knowledge']",Airtel Africa
28,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Pune,Full-Time,Accountant,"['Tax Experience', 'Tally', 'GST', 'Sales and negotiation', 'Business development']",Altria Group
29,https://www.naukri.com/job-listings-amazon-hiring-staff-accountant-fa-bangalore-amazon-bengaluru-0-to-4-years-190324006029?src=jobsearchDesk&sid=1711983115510105&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Pune,Temporary,Accountant,"['Accounting', 'MSExcel', 'GST', 'Sales and negotiation', 'Customer relationship management']",Carvana
